cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE"
People,"Residence 1 Year Ago","Different state",17733,"(+/- 3427 )",17564,"(+/- 2936 )",29851,"(+/- 5207 )",12998,"(+/- 3569 )",26986,"(+/- 4518 )",30637,"(+/- 4535 )",34758,"(+/- 4462 )",16193,"(+/- 3477 )",20943,"(+/- 4109 )",24293,"(+/- 3575 )"
People,"Residence 1 Year Ago",Abroad,8291,"(+/- 2054 )",4216,"(+/- 1409 )",5143,"(+/- 2355 )",4087,"(+/- 1864 )",3477,"(+/- 956 )",4598,"(+/- 1328 )",12241,"(+/- 2876 )",5241,"(+/- 2165 )",10966,"(+/- 2917 )",5753,"(+/- 1927 )"
Workers,"Employment Status","Population 16 years and over",626364,"(+/- 10669 )",624714,"(+/- 8284 )",605948,"(+/- 3362 )",547977,"(+/- 3213 )",595927,"(+/- 2925 )",602221,"(+/- 7324 )",700883,"(+/- 10387 )",599182,"(+/- 11491 )",609444,"(+/- 9858 )",615784,"(+/- 8325 )"
Workers,"Employment Status","In labor force",421675,"(+/- 10111 )",402232,"(+/- 8681 )",366865,"(+/- 5476 )",342418,"(+/- 5631 )",354871,"(+/- 6452 )",356058,"(+/- 7467 )",515596,"(+/- 11424 )",399987,"(+/- 9223 )",426991,"(+/- 10135 )",401878,"(+/- 8024 )"
Workers,"Employment Status","Civilian labor force",420950,"(+/- 10172 )",391506,"(+/- 8820 )",365715,"(+/- 5602 )",342095,"(+/- 5622 )",350811,"(+/- 6437 )",336120,"(+/- 7683 )",514601,"(+/- 11416 )",398941,"(+/- 9328 )",426284,"(+/- 10148 )",381739,"(+/- 7940 )"
Workers,"Employment Status",Employed,406234,"(+/- 10426 )",374100,"(+/- 9013 )",347514,"(+/- 5567 )",321771,"(+/- 5607 )",329581,"(+/- 6638 )",319087,"(+/- 7402 )",496578,"(+/- 11633 )",383569,"(+/- 9886 )",409295,"(+/- 10309 )",361680,"(+/- 7650 )"
Workers,"Employment Status",Unemployed,14716,"(+/- 2450 )",17406,"(+/- 2345 )",18201,"(+/- 2355 )",20324,"(+/- 3063 )",21230,"(+/- 2711 )",17033,"(+/- 2077 )",18023,"(+/- 2592 )",15372,"(+/- 3001 )",16989,"(+/- 2778 )",20059,"(+/- 2842 )"
Workers,"Employment Status","Armed Forces",725,"(+/- 361 )",10726,"(+/- 2145 )",1150,"(+/- 791 )",323,"(+/- 293 )",4060,"(+/- 1132 )",19938,"(+/- 2577 )",995,"(+/- 433 )",1046,"(+/- 659 )",707,"(+/- 623 )",20139,"(+/- 2863 )"
Workers,"Employment Status","Not in labor force",204689,"(+/- 7962 )",222482,"(+/- 7178 )",239083,"(+/- 5524 )",205559,"(+/- 5324 )",241056,"(+/- 5936 )",246163,"(+/- 7076 )",185287,"(+/- 8011 )",199195,"(+/- 8518 )",182453,"(+/- 7127 )",213906,"(+/- 7119 )"
Workers,"Employment Status","Civilian labor force",420950,"(+/- 10172 )",391506,"(+/- 8820 )",365715,"(+/- 5602 )",342095,"(+/- 5622 )",350811,"(+/- 6437 )",336120,"(+/- 7683 )",514601,"(+/- 11416 )",398941,"(+/- 9328 )",426284,"(+/- 10148 )",381739,"(+/- 7940 )"
Workers,"Employment Status","Unemployment Rate",3.5,"(+/- 0.6 )",4.4,"(+/- 0.6 )",5.0,"(+/- 0.6 )",5.9,"(+/- 0.9 )",6.1,"(+/- 0.8 )",5.1,"(+/- 0.6 )",3.5,"(+/- 0.5 )",3.9,"(+/- 0.8 )",4.0,"(+/- 0.7 )",5.3,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",399683,"(+/- 10364 )",375785,"(+/- 8654 )",341799,"(+/- 5356 )",313577,"(+/- 5698 )",323473,"(+/- 6544 )",330789,"(+/- 7401 )",486617,"(+/- 11287 )",377163,"(+/- 9716 )",400695,"(+/- 10398 )",374116,"(+/- 7815 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",301130,"(+/- 9364 )",276215,"(+/- 7648 )",263004,"(+/- 5605 )",252935,"(+/- 6058 )",242859,"(+/- 6472 )",239516,"(+/- 7184 )",233225,"(+/- 8912 )",281610,"(+/- 8278 )",258935,"(+/- 7900 )",291298,"(+/- 8021 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",40069,"(+/- 4615 )",38651,"(+/- 3861 )",33946,"(+/- 3535 )",37963,"(+/- 4067 )",32173,"(+/- 3927 )",28240,"(+/- 2790 )",39137,"(+/- 3652 )",41077,"(+/- 4969 )",40022,"(+/- 4274 )",39301,"(+/- 4429 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",21134,"(+/- 2416 )",18805,"(+/- 2702 )",5500,"(+/- 1248 )",993,"(+/- 570 )",7425,"(+/- 1469 )",21370,"(+/- 2738 )",106150,"(+/- 6050 )",15359,"(+/- 2018 )",55016,"(+/- 4883 )",12946,"(+/- 2373 )"
Workers,"Commuting to Work",Walked,5958,"(+/- 1549 )",8209,"(+/- 1395 )",8526,"(+/- 1849 )",5109,"(+/- 1333 )",13500,"(+/- 2303 )",13898,"(+/- 2487 )",47783,"(+/- 4441 )",6104,"(+/- 1616 )",13323,"(+/- 2348 )",7331,"(+/- 1868 )"
Workers,"Commuting to Work","Other means",6453,"(+/- 1199 )",8011,"(+/- 1817 )",6007,"(+/- 1367 )",3740,"(+/- 993 )",3887,"(+/- 972 )",6209,"(+/- 1395 )",21324,"(+/- 2974 )",5941,"(+/- 1223 )",8882,"(+/- 1594 )",5052,"(+/- 1396 )"
Workers,"Commuting to Work","Worked from home",24939,"(+/- 2369 )",25894,"(+/- 2891 )",24816,"(+/- 2651 )",12837,"(+/- 1996 )",23629,"(+/- 2723 )",21556,"(+/- 2274 )",38998,"(+/- 3661 )",27072,"(+/- 2900 )",24517,"(+/- 3228 )",18188,"(+/- 2519 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",30.8,"(+/- 0.7 )",29.8,"(+/- 0.7 )",27.8,"(+/- 0.8 )",20.9,"(+/- 0.7 )",22.4,"(+/- 0.6 )",30.4,"(+/- 0.9 )",28.7,"(+/- 0.5 )",33.2,"(+/- 0.8 )",30.1,"(+/- 0.6 )",31.2,"(+/- 0.9 )"
Workers,Occupation,"Civilian employed population 16 years and over",406234,"(+/- 10426 )",374100,"(+/- 9013 )",347514,"(+/- 5567 )",321771,"(+/- 5607 )",329581,"(+/- 6638 )",319087,"(+/- 7402 )",496578,"(+/- 11633 )",383569,"(+/- 9886 )",409295,"(+/- 10309 )",361680,"(+/- 7650 )"
Workers,Occupation,"Management, business, science, and arts occupations",210760,"(+/- 7187 )",147168,"(+/- 6903 )",122658,"(+/- 5078 )",103907,"(+/- 5461 )",131744,"(+/- 5800 )",127948,"(+/- 6120 )",298476,"(+/- 8536 )",161559,"(+/- 7153 )",190045,"(+/- 7588 )",128649,"(+/- 5812 )"
Workers,Occupation,"Service occupations",50946,"(+/- 4613 )",67658,"(+/- 5416 )",63818,"(+/- 3534 )",55878,"(+/- 4815 )",68185,"(+/- 3802 )",62645,"(+/- 4992 )",74643,"(+/- 6696 )",62810,"(+/- 4959 )",72997,"(+/- 5439 )",68845,"(+/- 5091 )"
Workers,Occupation,"Sales and office occupations",68774,"(+/- 5205 )",72154,"(+/- 4132 )",70299,"(+/- 4101 )",53386,"(+/- 4419 )",63180,"(+/- 3743 )",60142,"(+/- 3853 )",75325,"(+/- 5069 )",75230,"(+/- 4139 )",71862,"(+/- 5058 )",70010,"(+/- 4339 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",34139,"(+/- 3563 )",37514,"(+/- 2804 )",36948,"(+/- 3540 )",62636,"(+/- 4908 )",29936,"(+/- 2951 )",32518,"(+/- 3408 )",19652,"(+/- 3018 )",39298,"(+/- 3203 )",27538,"(+/- 3616 )",40128,"(+/- 4765 )"
Workers,Occupation,"Production, transportation, and material moving occupations",41615,"(+/- 3745 )",49606,"(+/- 3864 )",53791,"(+/- 3921 )",45964,"(+/- 4129 )",36536,"(+/- 3147 )",35834,"(+/- 3420 )",28482,"(+/- 3319 )",44672,"(+/- 3837 )",46853,"(+/- 3977 )",54048,"(+/- 3984 )"
Workers,Industry,"Civilian employed population 16 years and over",406234,"(+/- 10426 )",374100,"(+/- 9013 )",347514,"(+/- 5567 )",321771,"(+/- 5607 )",329581,"(+/- 6638 )",319087,"(+/- 7402 )",496578,"(+/- 11633 )",383569,"(+/- 9886 )",409295,"(+/- 10309 )",361680,"(+/- 7650 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",5514,"(+/- 1282 )",5411,"(+/- 1560 )",7852,"(+/- 1654 )",46773,"(+/- 4723 )",7379,"(+/- 1370 )",6233,"(+/- 1684 )",1902,"(+/- 841 )",10085,"(+/- 2215 )",1524,"(+/- 725 )",3683,"(+/- 1388 )"
Workers,Industry,Construction,32370,"(+/- 3564 )",31660,"(+/- 2895 )",31512,"(+/- 3431 )",23034,"(+/- 3204 )",23616,"(+/- 3150 )",21467,"(+/- 2808 )",20000,"(+/- 2842 )",32352,"(+/- 3333 )",24087,"(+/- 3451 )",33178,"(+/- 3831 )"
Workers,Industry,Manufacturing,49672,"(+/- 4509 )",47060,"(+/- 3618 )",40520,"(+/- 3414 )",25197,"(+/- 2504 )",23311,"(+/- 2557 )",26032,"(+/- 2439 )",33311,"(+/- 3690 )",40206,"(+/- 3638 )",38010,"(+/- 3718 )",31051,"(+/- 3557 )"
Workers,Industry,"Wholesale trade",9432,"(+/- 1780 )",7816,"(+/- 1925 )",10745,"(+/- 1686 )",9428,"(+/- 1658 )",10005,"(+/- 1735 )",6026,"(+/- 1153 )",10639,"(+/- 2268 )",14665,"(+/- 2364 )",12616,"(+/- 2112 )",12679,"(+/- 2124 )"
Workers,Industry,"Retail trade",44684,"(+/- 4225 )",43304,"(+/- 3822 )",37401,"(+/- 2949 )",30722,"(+/- 3122 )",32965,"(+/- 2891 )",32990,"(+/- 2990 )",61346,"(+/- 4867 )",44385,"(+/- 3468 )",48700,"(+/- 4102 )",45894,"(+/- 4541 )"
Workers,Industry,"Transportation and warehousing, and utilities",13061,"(+/- 2119 )",16729,"(+/- 2170 )",24808,"(+/- 2723 )",22641,"(+/- 2829 )",16530,"(+/- 2299 )",17134,"(+/- 2509 )",21579,"(+/- 2467 )",21284,"(+/- 2561 )",28524,"(+/- 3495 )",20714,"(+/- 2545 )"
Workers,Industry,Information,12734,"(+/- 1565 )",6921,"(+/- 1428 )",4799,"(+/- 1315 )",3515,"(+/- 1183 )",4126,"(+/- 1180 )",4146,"(+/- 1103 )",22501,"(+/- 3161 )",7687,"(+/- 1839 )",11946,"(+/- 1727 )",3629,"(+/- 980 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",24921,"(+/- 2694 )",20104,"(+/- 2453 )",17055,"(+/- 2048 )",8519,"(+/- 1674 )",20171,"(+/- 2299 )",16566,"(+/- 2190 )",28775,"(+/- 3234 )",18116,"(+/- 2187 )",20195,"(+/- 2439 )",15360,"(+/- 2065 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",83421,"(+/- 5427 )",43149,"(+/- 3790 )",37928,"(+/- 3249 )",28001,"(+/- 2758 )",31577,"(+/- 3153 )",33513,"(+/- 3442 )",105641,"(+/- 5817 )",51255,"(+/- 4293 )",73181,"(+/- 4832 )",36697,"(+/- 3092 )"
Workers,Industry,"Educational services, and health care and social assistance",69423,"(+/- 5403 )",78827,"(+/- 5093 )",75045,"(+/- 3963 )",64671,"(+/- 4180 )",95678,"(+/- 5706 )",75899,"(+/- 4657 )",106904,"(+/- 5821 )",76141,"(+/- 4592 )",79509,"(+/- 5214 )",70936,"(+/- 3954 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",28197,"(+/- 3862 )",34811,"(+/- 3423 )",28388,"(+/- 3173 )",27977,"(+/- 3218 )",33916,"(+/- 3336 )",33716,"(+/- 3670 )",46715,"(+/- 4912 )",33233,"(+/- 3674 )",38898,"(+/- 4111 )",33960,"(+/- 3312 )"
Workers,Industry,"Other services, except public administration",18664,"(+/- 2663 )",20151,"(+/- 2507 )",15679,"(+/- 2080 )",13636,"(+/- 2370 )",13708,"(+/- 1841 )",18016,"(+/- 2511 )",23410,"(+/- 3381 )",17602,"(+/- 2233 )",20878,"(+/- 3311 )",17571,"(+/- 2820 )"
Workers,Industry,"Public administration",14141,"(+/- 1994 )",18157,"(+/- 2762 )",15782,"(+/- 1954 )",17657,"(+/- 2513 )",16599,"(+/- 2110 )",27349,"(+/- 3068 )",13855,"(+/- 2362 )",16558,"(+/- 2386 )",11227,"(+/- 1890 )",36328,"(+/- 3103 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",406234,"(+/- 10426 )",374100,"(+/- 9013 )",347514,"(+/- 5567 )",321771,"(+/- 5607 )",329581,"(+/- 6638 )",319087,"(+/- 7402 )",496578,"(+/- 11633 )",383569,"(+/- 9886 )",409295,"(+/- 10309 )",361680,"(+/- 7650 )"
Workers,"Class of Worker","Private wage and salary workers",340552,"(+/- 9580 )",293185,"(+/- 7348 )",271045,"(+/- 6408 )",252331,"(+/- 6308 )",244223,"(+/- 5889 )",224717,"(+/- 6297 )",403455,"(+/- 10560 )",309724,"(+/- 9141 )",339174,"(+/- 8717 )",265605,"(+/- 7738 )"
Workers,"Class of Worker","Government workers",44552,"(+/- 2998 )",56581,"(+/- 5065 )",52884,"(+/- 3279 )",52002,"(+/- 3623 )",62237,"(+/- 4016 )",74124,"(+/- 4358 )",62577,"(+/- 4525 )",52453,"(+/- 4005 )",45570,"(+/- 4170 )",77789,"(+/- 4310 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",20746,"(+/- 2246 )",23453,"(+/- 2926 )",21745,"(+/- 2724 )",16684,"(+/- 2587 )",21561,"(+/- 2914 )",19379,"(+/- 2437 )",29456,"(+/- 3240 )",21054,"(+/- 2956 )",23813,"(+/- 3274 )",17186,"(+/- 2055 )"
Workers,"Class of Worker","Unpaid family workers",384,"(+/- 281 )",881,"(+/- 388 )",1840,"(+/- 703 )",754,"(+/- 430 )",1560,"(+/- 852 )",867,"(+/- 611 )",1090,"(+/- 504 )",338,"(+/- 278 )",738,"(+/- 415 )",1100,"(+/- 573 )"
Housing,"Housing Occupancy","Total housing units",311102,"(+/- 6299 )",326558,"(+/- 4781 )",311463,"(+/- 1770 )",277182,"(+/- 1625 )",322282,"(+/- 2139 )",334163,"(+/- 3460 )",395094,"(+/- 6176 )",300884,"(+/- 5608 )",310785,"(+/- 6342 )",305585,"(+/- 4256 )"
Housing,"Housing Occupancy","Occupied housing units",288473,"(+/- 6057 )",296423,"(+/- 5137 )",288096,"(+/- 2774 )",250101,"(+/- 3263 )",295592,"(+/- 3481 )",294537,"(+/- 4850 )",366275,"(+/- 6822 )",273857,"(+/- 5766 )",290396,"(+/- 5889 )",288727,"(+/- 4553 )"
Housing,"Housing Occupancy","Vacant housing units",22629,"(+/- 3324 )",30135,"(+/- 3477 )",23367,"(+/- 2672 )",27081,"(+/- 3030 )",26690,"(+/- 2993 )",39626,"(+/- 4332 )",28819,"(+/- 4092 )",27027,"(+/- 3139 )",20389,"(+/- 3115 )",16858,"(+/- 3047 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.8,"(+/- 0.5 )",0.7,"(+/- 0.3 )",0.7,"(+/- 0.4 )",1.1,"(+/- 0.6 )",1.4,"(+/- 0.5 )",0.8,"(+/- 0.4 )",1.7,"(+/- 0.9 )",1.3,"(+/- 0.6 )",1.5,"(+/- 0.7 )",1.4,"(+/- 0.7 )"
Housing,"Housing Occupancy","Rental vacancy rate",4.0,"(+/- 1.8 )",5.0,"(+/- 1.7 )",2.9,"(+/- 1.0 )",5.1,"(+/- 1.9 )",3.3,"(+/- 1.2 )",5.1,"(+/- 1.7 )",4.3,"(+/- 1.2 )",7.1,"(+/- 2.3 )",3.0,"(+/- 1.0 )",4.5,"(+/- 1.4 )"
Housing,"Housing Tenure","Occupied housing units",288473,"(+/- 6057 )",296423,"(+/- 5137 )",288096,"(+/- 2774 )",250101,"(+/- 3263 )",295592,"(+/- 3481 )",294537,"(+/- 4850 )",366275,"(+/- 6822 )",273857,"(+/- 5766 )",290396,"(+/- 5889 )",288727,"(+/- 4553 )"
Housing,"Housing Tenure",Owner-occupied,209685,"(+/- 5689 )",184164,"(+/- 4519 )",193924,"(+/- 3968 )",164711,"(+/- 4295 )",184616,"(+/- 4136 )",203500,"(+/- 4320 )",175693,"(+/- 5122 )",203625,"(+/- 4746 )",153379,"(+/- 5311 )",176395,"(+/- 4684 )"
Housing,"Housing Tenure",Renter-occupied,78788,"(+/- 4424 )",112259,"(+/- 4596 )",94172,"(+/- 3781 )",85390,"(+/- 4012 )",110976,"(+/- 4131 )",91037,"(+/- 4331 )",190582,"(+/- 6749 )",70232,"(+/- 4529 )",137017,"(+/- 5405 )",112332,"(+/- 4341 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.79,"(+/- 0.05 )",2.60,"(+/- 0.05 )",2.65,"(+/- 0.04 )",2.91,"(+/- 0.06 )",2.50,"(+/- 0.04 )",2.48,"(+/- 0.05 )",2.46,"(+/- 0.05 )",2.84,"(+/- 0.05 )",2.66,"(+/- 0.07 )",2.74,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.50,"(+/- 0.09 )",2.38,"(+/- 0.08 )",2.49,"(+/- 0.07 )",2.88,"(+/- 0.10 )",2.19,"(+/- 0.07 )",2.22,"(+/- 0.09 )",1.89,"(+/- 0.05 )",2.64,"(+/- 0.14 )",2.42,"(+/- 0.08 )",2.42,"(+/- 0.07 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",288473,"(+/- 6057 )",296423,"(+/- 5137 )",288096,"(+/- 2774 )",250101,"(+/- 3263 )",295592,"(+/- 3481 )",294537,"(+/- 4850 )",366275,"(+/- 6822 )",273857,"(+/- 5766 )",290396,"(+/- 5889 )",288727,"(+/- 4553 )"
Housing,"Year Householder Moved into Unit","Moved in 2017 or later",83884,"(+/- 4142 )",93189,"(+/- 4788 )",88634,"(+/- 4119 )",74191,"(+/- 4526 )",99165,"(+/- 4531 )",84359,"(+/- 4696 )",147790,"(+/- 6188 )",75382,"(+/- 4556 )",107043,"(+/- 5536 )",102874,"(+/- 4299 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2016",38067,"(+/- 3259 )",42308,"(+/- 3197 )",41068,"(+/- 3202 )",33917,"(+/- 3264 )",42341,"(+/- 3495 )",40564,"(+/- 3427 )",50611,"(+/- 3587 )",41783,"(+/- 3721 )",35187,"(+/- 3251 )",39063,"(+/- 3709 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",50235,"(+/- 3605 )",48006,"(+/- 3889 )",46446,"(+/- 3520 )",39447,"(+/- 3397 )",42947,"(+/- 3598 )",46457,"(+/- 3343 )",55702,"(+/- 4029 )",42700,"(+/- 3117 )",47492,"(+/- 3604 )",42004,"(+/- 3602 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",61673,"(+/- 3777 )",62840,"(+/- 3030 )",58634,"(+/- 3360 )",52825,"(+/- 3361 )",51324,"(+/- 3061 )",60866,"(+/- 3617 )",56219,"(+/- 4060 )",61029,"(+/- 4089 )",49338,"(+/- 3285 )",53757,"(+/- 3764 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",31025,"(+/- 2137 )",28430,"(+/- 2344 )",30915,"(+/- 2350 )",26365,"(+/- 2579 )",31940,"(+/- 2500 )",34606,"(+/- 2797 )",28208,"(+/- 2333 )",28800,"(+/- 2358 )",25714,"(+/- 2817 )",28466,"(+/- 2327 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",23589,"(+/- 2170 )",21650,"(+/- 1696 )",22399,"(+/- 2396 )",23356,"(+/- 2050 )",27875,"(+/- 2282 )",27685,"(+/- 2119 )",27745,"(+/- 2487 )",24163,"(+/- 2186 )",25622,"(+/- 2648 )",22563,"(+/- 2354 )"
Housing,Value,"Owner-occupied units",209685,"(+/- 5689 )",184164,"(+/- 4519 )",193924,"(+/- 3968 )",164711,"(+/- 4295 )",184616,"(+/- 4136 )",203500,"(+/- 4320 )",175693,"(+/- 5122 )",203625,"(+/- 4746 )",153379,"(+/- 5311 )",176395,"(+/- 4684 )"
Housing,Value,"Less than $50,000",5649,"(+/- 1539 )",5125,"(+/- 1196 )",6338,"(+/- 1135 )",11665,"(+/- 1752 )",6409,"(+/- 1076 )",5405,"(+/- 931 )",1077,"(+/- 485 )",5154,"(+/- 1350 )",3528,"(+/- 1021 )",6919,"(+/- 1426 )"
Housing,Value,"$50,000 to $99,999",2531,"(+/- 811 )",3345,"(+/- 924 )",5220,"(+/- 1222 )",9698,"(+/- 1635 )",8571,"(+/- 1244 )",5144,"(+/- 1147 )",799,"(+/- 409 )",2852,"(+/- 787 )",1302,"(+/- 483 )",2618,"(+/- 767 )"
Housing,Value,"$100,000 to $149,999",2250,"(+/- 732 )",1596,"(+/- 509 )",5843,"(+/- 914 )",16725,"(+/- 2284 )",16063,"(+/- 1957 )",7456,"(+/- 1117 )",354,"(+/- 199 )",3442,"(+/- 1016 )",1278,"(+/- 515 )",3053,"(+/- 597 )"
Housing,Value,"$150,000 to $199,999",4526,"(+/- 1027 )",4255,"(+/- 1103 )",14961,"(+/- 1781 )",26344,"(+/- 2682 )",27432,"(+/- 2210 )",13398,"(+/- 1839 )",1258,"(+/- 676 )",4453,"(+/- 994 )",3925,"(+/- 1079 )",9349,"(+/- 1461 )"
Housing,Value,"$200,000 to $299,999",16474,"(+/- 1795 )",23393,"(+/- 2117 )",42198,"(+/- 3291 )",48190,"(+/- 3468 )",56684,"(+/- 3477 )",44013,"(+/- 3025 )",5944,"(+/- 1000 )",26677,"(+/- 2451 )",10320,"(+/- 1781 )",45389,"(+/- 3288 )"
Housing,Value,"$300,000 to $499,999",61198,"(+/- 3570 )",82763,"(+/- 3499 )",86026,"(+/- 3833 )",39863,"(+/- 3076 )",52166,"(+/- 3334 )",82109,"(+/- 3316 )",31372,"(+/- 3014 )",81679,"(+/- 3701 )",51225,"(+/- 3770 )",84086,"(+/- 3521 )"
Housing,Value,"$500,000 to $999,999",91287,"(+/- 4389 )",57390,"(+/- 2898 )",30397,"(+/- 2401 )",10858,"(+/- 1677 )",15113,"(+/- 1718 )",38587,"(+/- 2845 )",95473,"(+/- 3869 )",63382,"(+/- 3013 )",57242,"(+/- 3382 )",23270,"(+/- 1836 )"
Housing,Value,"$1,000,000 or more",25770,"(+/- 2362 )",6297,"(+/- 910 )",2941,"(+/- 722 )",1368,"(+/- 420 )",2178,"(+/- 719 )",7388,"(+/- 1176 )",39416,"(+/- 2814 )",15986,"(+/- 1704 )",24559,"(+/- 1846 )",1711,"(+/- 607 )"
Housing,Value,"Median (dollars)",552700,"(+/- 13840 )",430100,"(+/- 7255 )",338300,"(+/- 5414 )",234100,"(+/- 6002 )",255100,"(+/- 6697 )",351000,"(+/- 5306 )",718500,"(+/- 13398 )",442900,"(+/- 6914 )",536400,"(+/- 21257 )",335900,"(+/- 4381 )"
Housing,"Mortgage Status","Owner-occupied units",209685,"(+/- 5689 )",184164,"(+/- 4519 )",193924,"(+/- 3968 )",164711,"(+/- 4295 )",184616,"(+/- 4136 )",203500,"(+/- 4320 )",175693,"(+/- 5122 )",203625,"(+/- 4746 )",153379,"(+/- 5311 )",176395,"(+/- 4684 )"
Housing,"Mortgage Status","Housing units with a mortgage",151504,"(+/- 5222 )",126326,"(+/- 4407 )",129261,"(+/- 3878 )",96766,"(+/- 3946 )",116389,"(+/- 3846 )",134538,"(+/- 4329 )",125040,"(+/- 4482 )",144638,"(+/- 4656 )",104365,"(+/- 5013 )",124068,"(+/- 4082 )"
Housing,"Mortgage Status","Housing units without a mortgage",58181,"(+/- 3005 )",57838,"(+/- 3220 )",64663,"(+/- 3750 )",67945,"(+/- 4107 )",68227,"(+/- 3330 )",68962,"(+/- 3648 )",50653,"(+/- 3299 )",58987,"(+/- 3732 )",49014,"(+/- 3302 )",52327,"(+/- 3254 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",151504,"(+/- 5222 )",126326,"(+/- 4407 )",129261,"(+/- 3878 )",96766,"(+/- 3946 )",116389,"(+/- 3846 )",134538,"(+/- 4329 )",125040,"(+/- 4482 )",144638,"(+/- 4656 )",104365,"(+/- 5013 )",124068,"(+/- 4082 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",970,"(+/- 347 )",386,"(+/- 218 )",1114,"(+/- 529 )",589,"(+/- 354 )",701,"(+/- 339 )",1455,"(+/- 573 )",282,"(+/- 189 )",901,"(+/- 374 )",714,"(+/- 444 )",335,"(+/- 290 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",7113,"(+/- 1375 )",7573,"(+/- 1421 )",12650,"(+/- 1886 )",18246,"(+/- 2059 )",20173,"(+/- 2500 )",10943,"(+/- 1502 )",1541,"(+/- 567 )",6317,"(+/- 1395 )",2640,"(+/- 749 )",6335,"(+/- 1209 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",15332,"(+/- 1904 )",18483,"(+/- 2164 )",32789,"(+/- 2209 )",39600,"(+/- 3112 )",42568,"(+/- 3157 )",32344,"(+/- 2817 )",7708,"(+/- 1397 )",18460,"(+/- 2234 )",10956,"(+/- 1675 )",25023,"(+/- 2175 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",30503,"(+/- 2840 )",36390,"(+/- 2732 )",40488,"(+/- 2944 )",20644,"(+/- 2351 )",29001,"(+/- 2490 )",38374,"(+/- 2896 )",17942,"(+/- 2209 )",31181,"(+/- 2781 )",24621,"(+/- 2899 )",43170,"(+/- 2592 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",27855,"(+/- 2446 )",28877,"(+/- 2538 )",22101,"(+/- 2550 )",9446,"(+/- 1594 )",12458,"(+/- 2004 )",25475,"(+/- 2680 )",20815,"(+/- 2210 )",29573,"(+/- 2807 )",19296,"(+/- 2354 )",27432,"(+/- 2588 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",22808,"(+/- 2223 )",17645,"(+/- 1904 )",11392,"(+/- 1827 )",4792,"(+/- 1144 )",7742,"(+/- 1734 )",13341,"(+/- 1702 )",18744,"(+/- 1936 )",22456,"(+/- 2234 )",15330,"(+/- 1989 )",12452,"(+/- 1630 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",46923,"(+/- 3213 )",16972,"(+/- 1703 )",8727,"(+/- 1338 )",3449,"(+/- 780 )",3746,"(+/- 723 )",12606,"(+/- 1808 )",58008,"(+/- 3501 )",35750,"(+/- 2442 )",30808,"(+/- 2197 )",9321,"(+/- 1644 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",2392,"(+/- 53 )",2006,"(+/- 48 )",1724,"(+/- 36 )",1378,"(+/- 28 )",1438,"(+/- 34 )",1782,"(+/- 34 )",2880,"(+/- 68 )",2261,"(+/- 40 )",2343,"(+/- 63 )",1853,"(+/- 28 )"
