cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
Workers,Occupation,"Civilian employed population 16 years and over",363473,"(+/- 9014 )",393602,"(+/- 9224 )",397183,"(+/- 8432 )",352761,"(+/- 6437 )",396442,"(+/- 6846 )",371596,"(+/- 7034 )",356220,"(+/- 7142 )",311182,"(+/- 6731 )"
Workers,Occupation,"Management, business, science, and arts occupations",146939,"(+/- 5993 )",212901,"(+/- 6417 )",148265,"(+/- 5404 )",123718,"(+/- 5293 )",141710,"(+/- 5992 )",139715,"(+/- 5368 )",118903,"(+/- 5831 )",97550,"(+/- 5035 )"
Workers,Occupation,"Service occupations",69322,"(+/- 5211 )",47023,"(+/- 3786 )",63458,"(+/- 4806 )",64243,"(+/- 3879 )",70856,"(+/- 4514 )",57343,"(+/- 3519 )",68461,"(+/- 5221 )",57248,"(+/- 4213 )"
Workers,Occupation,"Sales and office occupations",76834,"(+/- 5701 )",77275,"(+/- 4449 )",85044,"(+/- 5576 )",73358,"(+/- 4357 )",86145,"(+/- 5708 )",75180,"(+/- 4207 )",82113,"(+/- 4807 )",62422,"(+/- 3697 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",23021,"(+/- 2688 )",23469,"(+/- 3247 )",44846,"(+/- 3227 )",33706,"(+/- 3118 )",35642,"(+/- 3415 )",33292,"(+/- 2449 )",33130,"(+/- 3064 )",32591,"(+/- 3153 )"
Workers,Occupation,"Production, transportation, and material moving occupations",47357,"(+/- 4202 )",32934,"(+/- 2990 )",55570,"(+/- 3407 )",57736,"(+/- 3577 )",62089,"(+/- 4098 )",66066,"(+/- 3709 )",53613,"(+/- 3547 )",61371,"(+/- 3749 )"
Workers,Industry,"Civilian employed population 16 years and over",363473,"(+/- 9014 )",393602,"(+/- 9224 )",397183,"(+/- 8432 )",352761,"(+/- 6437 )",396442,"(+/- 6846 )",371596,"(+/- 7034 )",356220,"(+/- 7142 )",311182,"(+/- 6731 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",922,"(+/- 524 )",1570,"(+/- 512 )",4211,"(+/- 1079 )",10191,"(+/- 1547 )",3066,"(+/- 834 )",9519,"(+/- 1112 )",5880,"(+/- 1488 )",10773,"(+/- 1442 )"
Workers,Industry,Construction,16836,"(+/- 2370 )",21980,"(+/- 2957 )",34146,"(+/- 3378 )",24578,"(+/- 2444 )",28308,"(+/- 3612 )",24325,"(+/- 2580 )",22356,"(+/- 2627 )",21959,"(+/- 2568 )"
Workers,Industry,Manufacturing,29809,"(+/- 3553 )",41030,"(+/- 2937 )",52461,"(+/- 3640 )",37255,"(+/- 3407 )",34437,"(+/- 3121 )",45592,"(+/- 3014 )",41254,"(+/- 3070 )",43795,"(+/- 3025 )"
Workers,Industry,"Wholesale trade",8518,"(+/- 1979 )",13910,"(+/- 2256 )",10254,"(+/- 1779 )",7263,"(+/- 1399 )",13047,"(+/- 2359 )",10799,"(+/- 1885 )",9339,"(+/- 1857 )",6409,"(+/- 1262 )"
Workers,Industry,"Retail trade",33126,"(+/- 3597 )",37598,"(+/- 3425 )",47432,"(+/- 3751 )",44891,"(+/- 4140 )",45886,"(+/- 4134 )",39909,"(+/- 3542 )",43779,"(+/- 3680 )",39297,"(+/- 3552 )"
Workers,Industry,"Transportation and warehousing, and utilities",22786,"(+/- 3089 )",14860,"(+/- 2020 )",21440,"(+/- 2733 )",20672,"(+/- 2864 )",25112,"(+/- 3046 )",26827,"(+/- 2849 )",20285,"(+/- 2444 )",19931,"(+/- 2237 )"
Workers,Industry,Information,9077,"(+/- 1663 )",8335,"(+/- 1354 )",8084,"(+/- 1537 )",3319,"(+/- 982 )",7421,"(+/- 1558 )",5781,"(+/- 1308 )",5919,"(+/- 1346 )",3378,"(+/- 891 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",29699,"(+/- 3508 )",43021,"(+/- 2654 )",28285,"(+/- 2635 )",19663,"(+/- 2580 )",30388,"(+/- 2785 )",25431,"(+/- 2203 )",20309,"(+/- 2719 )",12361,"(+/- 2075 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",41005,"(+/- 4320 )",53971,"(+/- 3619 )",36090,"(+/- 3392 )",26150,"(+/- 3026 )",48490,"(+/- 3432 )",34365,"(+/- 2985 )",30614,"(+/- 3285 )",19652,"(+/- 2385 )"
Workers,Industry,"Educational services, and health care and social assistance",101919,"(+/- 6060 )",96615,"(+/- 5322 )",80695,"(+/- 4702 )",91593,"(+/- 4516 )",84686,"(+/- 4211 )",86894,"(+/- 4075 )",84446,"(+/- 4703 )",84179,"(+/- 3881 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",38713,"(+/- 3543 )",33012,"(+/- 3058 )",33654,"(+/- 3759 )",34252,"(+/- 3320 )",39147,"(+/- 3264 )",28636,"(+/- 2878 )",39538,"(+/- 4097 )",22316,"(+/- 2553 )"
Workers,Industry,"Other services, except public administration",16833,"(+/- 2896 )",16050,"(+/- 1843 )",18827,"(+/- 2345 )",14743,"(+/- 1830 )",19583,"(+/- 2482 )",15742,"(+/- 2182 )",20599,"(+/- 3043 )",11972,"(+/- 1682 )"
Workers,Industry,"Public administration",14230,"(+/- 2405 )",11650,"(+/- 1764 )",21604,"(+/- 3322 )",18191,"(+/- 2310 )",16871,"(+/- 1960 )",17776,"(+/- 2081 )",11902,"(+/- 2040 )",15160,"(+/- 1952 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",363473,"(+/- 9014 )",393602,"(+/- 9224 )",397183,"(+/- 8432 )",352761,"(+/- 6437 )",396442,"(+/- 6846 )",371596,"(+/- 7034 )",356220,"(+/- 7142 )",311182,"(+/- 6731 )"
Workers,"Class of Worker","Private wage and salary workers",313122,"(+/- 8765 )",337024,"(+/- 8721 )",328718,"(+/- 9271 )",267457,"(+/- 6479 )",329762,"(+/- 6636 )",296836,"(+/- 6329 )",294081,"(+/- 8009 )",240734,"(+/- 5803 )"
Workers,"Class of Worker","Government workers",38050,"(+/- 3673 )",37034,"(+/- 3194 )",51318,"(+/- 4037 )",61941,"(+/- 4203 )",44136,"(+/- 3169 )",52124,"(+/- 3544 )",38884,"(+/- 3365 )",49530,"(+/- 3491 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",11625,"(+/- 2217 )",18241,"(+/- 2165 )",15944,"(+/- 2027 )",22508,"(+/- 2338 )",21790,"(+/- 2777 )",21746,"(+/- 2128 )",22601,"(+/- 2606 )",19621,"(+/- 2169 )"
Workers,"Class of Worker","Unpaid family workers",676,"(+/- 443 )",1303,"(+/- 593 )",1203,"(+/- 632 )",855,"(+/- 466 )",754,"(+/- 374 )",890,"(+/- 484 )",654,"(+/- 578 )",1297,"(+/- 686 )"
Housing,"Housing Occupancy","Total housing units",370556,"(+/- 4512 )",323931,"(+/- 5332 )",351928,"(+/- 3475 )",358471,"(+/- 2451 )",367355,"(+/- 3204 )",337469,"(+/- 3570 )",362150,"(+/- 1938 )",347474,"(+/- 2054 )"
Housing,"Housing Occupancy","Occupied housing units",320959,"(+/- 5830 )",307657,"(+/- 5346 )",307761,"(+/- 3782 )",293159,"(+/- 4614 )",324295,"(+/- 4329 )",290828,"(+/- 4911 )",322806,"(+/- 3975 )",290872,"(+/- 4486 )"
Housing,"Housing Occupancy","Vacant housing units",49597,"(+/- 4326 )",16274,"(+/- 3061 )",44167,"(+/- 3664 )",65312,"(+/- 4583 )",43060,"(+/- 3399 )",46641,"(+/- 3416 )",39344,"(+/- 3523 )",56602,"(+/- 4122 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",2.5,"(+/- 0.6 )",0.9,"(+/- 0.4 )",1.1,"(+/- 0.4 )",2.1,"(+/- 0.7 )",0.7,"(+/- 0.5 )",1.3,"(+/- 0.5 )",1.1,"(+/- 0.4 )",1.9,"(+/- 0.6 )"
Housing,"Housing Occupancy","Rental vacancy rate",6.0,"(+/- 1.0 )",4.0,"(+/- 1.8 )",5.3,"(+/- 2.1 )",7.4,"(+/- 1.9 )",4.7,"(+/- 1.1 )",6.2,"(+/- 1.7 )",1.9,"(+/- 0.7 )",5.8,"(+/- 1.6 )"
Housing,"Housing Tenure","Occupied housing units",320959,"(+/- 5830 )",307657,"(+/- 5346 )",307761,"(+/- 3782 )",293159,"(+/- 4614 )",324295,"(+/- 4329 )",290828,"(+/- 4911 )",322806,"(+/- 3975 )",290872,"(+/- 4486 )"
Housing,"Housing Tenure",Owner-occupied,163071,"(+/- 5269 )",242920,"(+/- 4007 )",238913,"(+/- 4254 )",204947,"(+/- 4692 )",186386,"(+/- 4516 )",207836,"(+/- 4796 )",201676,"(+/- 4931 )",204270,"(+/- 5239 )"
Housing,"Housing Tenure",Renter-occupied,157888,"(+/- 5466 )",64737,"(+/- 4044 )",68848,"(+/- 4317 )",88212,"(+/- 3863 )",137909,"(+/- 4763 )",82992,"(+/- 3752 )",121130,"(+/- 4263 )",86602,"(+/- 4077 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.42,"(+/- 0.07 )",2.54,"(+/- 0.04 )",2.62,"(+/- 0.04 )",2.59,"(+/- 0.05 )",2.49,"(+/- 0.05 )",2.68,"(+/- 0.04 )",2.48,"(+/- 0.05 )",2.49,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",1.99,"(+/- 0.06 )",1.91,"(+/- 0.09 )",2.25,"(+/- 0.10 )",2.38,"(+/- 0.08 )",2.17,"(+/- 0.06 )",2.31,"(+/- 0.10 )",2.21,"(+/- 0.07 )",2.32,"(+/- 0.08 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",320959,"(+/- 5830 )",307657,"(+/- 5346 )",307761,"(+/- 3782 )",293159,"(+/- 4614 )",324295,"(+/- 4329 )",290828,"(+/- 4911 )",322806,"(+/- 3975 )",290872,"(+/- 4486 )"
Housing,"Year Householder Moved into Unit","Moved in 2017 or later",106876,"(+/- 5316 )",75812,"(+/- 4556 )",75490,"(+/- 3961 )",88324,"(+/- 3949 )",105620,"(+/- 5094 )",78599,"(+/- 4272 )",107250,"(+/- 4217 )",76070,"(+/- 3444 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2016",42468,"(+/- 4004 )",33910,"(+/- 2265 )",40447,"(+/- 3130 )",37789,"(+/- 3244 )",41598,"(+/- 3725 )",35491,"(+/- 2574 )",43484,"(+/- 3644 )",29722,"(+/- 2645 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",46460,"(+/- 3315 )",44814,"(+/- 3472 )",50422,"(+/- 3719 )",44000,"(+/- 2940 )",52408,"(+/- 3663 )",46903,"(+/- 3030 )",47543,"(+/- 3761 )",44374,"(+/- 2932 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",56234,"(+/- 3827 )",63328,"(+/- 3232 )",71274,"(+/- 4323 )",59604,"(+/- 3469 )",57290,"(+/- 3350 )",61699,"(+/- 3046 )",65061,"(+/- 3386 )",62478,"(+/- 3152 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",30812,"(+/- 2869 )",47393,"(+/- 2320 )",36870,"(+/- 2728 )",33350,"(+/- 2334 )",29775,"(+/- 2357 )",34267,"(+/- 2194 )",32179,"(+/- 2916 )",40201,"(+/- 2833 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",38109,"(+/- 2620 )",42400,"(+/- 2923 )",33258,"(+/- 2434 )",30092,"(+/- 2646 )",37604,"(+/- 2753 )",33869,"(+/- 2202 )",27289,"(+/- 2531 )",38027,"(+/- 2497 )"
Housing,Value,"Owner-occupied units",163071,"(+/- 5269 )",242920,"(+/- 4007 )",238913,"(+/- 4254 )",204947,"(+/- 4692 )",186386,"(+/- 4516 )",207836,"(+/- 4796 )",201676,"(+/- 4931 )",204270,"(+/- 5239 )"
Housing,Value,"Less than $50,000",16053,"(+/- 2195 )",5630,"(+/- 1378 )",15564,"(+/- 2081 )",19799,"(+/- 1998 )",18650,"(+/- 2269 )",19704,"(+/- 1563 )",14591,"(+/- 1705 )",31828,"(+/- 2535 )"
Housing,Value,"$50,000 to $99,999",45713,"(+/- 3264 )",8143,"(+/- 1507 )",23049,"(+/- 2333 )",37599,"(+/- 2818 )",31178,"(+/- 2046 )",32942,"(+/- 2142 )",37960,"(+/- 2802 )",48568,"(+/- 3129 )"
Housing,Value,"$100,000 to $149,999",38072,"(+/- 2835 )",26042,"(+/- 2414 )",39564,"(+/- 3254 )",36002,"(+/- 2555 )",41975,"(+/- 2701 )",33949,"(+/- 2759 )",46137,"(+/- 3201 )",38044,"(+/- 2663 )"
Housing,Value,"$150,000 to $199,999",22885,"(+/- 2262 )",36855,"(+/- 2523 )",51672,"(+/- 3296 )",36341,"(+/- 2879 )",36573,"(+/- 2660 )",37226,"(+/- 2577 )",37740,"(+/- 3475 )",31397,"(+/- 2452 )"
Housing,Value,"$200,000 to $299,999",19301,"(+/- 1884 )",69490,"(+/- 3465 )",59548,"(+/- 2776 )",41089,"(+/- 2598 )",31801,"(+/- 2713 )",44539,"(+/- 2932 )",36719,"(+/- 2932 )",32720,"(+/- 3019 )"
Housing,Value,"$300,000 to $499,999",13906,"(+/- 1885 )",67310,"(+/- 3400 )",36669,"(+/- 2867 )",25126,"(+/- 2133 )",18222,"(+/- 1670 )",31065,"(+/- 2422 )",21209,"(+/- 1928 )",16732,"(+/- 2027 )"
Housing,Value,"$500,000 to $999,999",6250,"(+/- 1043 )",24503,"(+/- 1832 )",10835,"(+/- 1664 )",6990,"(+/- 1215 )",7185,"(+/- 1303 )",7137,"(+/- 1194 )",5709,"(+/- 1148 )",4127,"(+/- 902 )"
Housing,Value,"$1,000,000 or more",891,"(+/- 429 )",4947,"(+/- 783 )",2012,"(+/- 544 )",2001,"(+/- 558 )",802,"(+/- 310 )",1274,"(+/- 457 )",1611,"(+/- 650 )",854,"(+/- 337 )"
Housing,Value,"Median (dollars)",120600,"(+/- 2865 )",261500,"(+/- 5348 )",189500,"(+/- 3451 )",160500,"(+/- 3019 )",151600,"(+/- 3345 )",170400,"(+/- 3752 )",152500,"(+/- 3971 )",127000,"(+/- 4932 )"
Housing,"Mortgage Status","Owner-occupied units",163071,"(+/- 5269 )",242920,"(+/- 4007 )",238913,"(+/- 4254 )",204947,"(+/- 4692 )",186386,"(+/- 4516 )",207836,"(+/- 4796 )",201676,"(+/- 4931 )",204270,"(+/- 5239 )"
Housing,"Mortgage Status","Housing units with a mortgage",108514,"(+/- 4499 )",161490,"(+/- 3715 )",152646,"(+/- 4201 )",118847,"(+/- 4478 )",113121,"(+/- 4249 )",118780,"(+/- 4492 )",115515,"(+/- 4937 )",104758,"(+/- 3492 )"
Housing,"Mortgage Status","Housing units without a mortgage",54557,"(+/- 3618 )",81430,"(+/- 3087 )",86267,"(+/- 3732 )",86100,"(+/- 3571 )",73265,"(+/- 3750 )",89056,"(+/- 3145 )",86161,"(+/- 3285 )",99512,"(+/- 4074 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",108514,"(+/- 4499 )",161490,"(+/- 3715 )",152646,"(+/- 4201 )",118847,"(+/- 4478 )",113121,"(+/- 4249 )",118780,"(+/- 4492 )",115515,"(+/- 4937 )",104758,"(+/- 3492 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1253,"(+/- 529 )",987,"(+/- 481 )",1356,"(+/- 526 )",2753,"(+/- 876 )",1191,"(+/- 487 )",2154,"(+/- 501 )",2334,"(+/- 618 )",3511,"(+/- 842 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",31685,"(+/- 2853 )",17241,"(+/- 2185 )",34656,"(+/- 2820 )",41024,"(+/- 2479 )",27145,"(+/- 2365 )",29355,"(+/- 2458 )",45852,"(+/- 3476 )",47807,"(+/- 2983 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",42588,"(+/- 3258 )",45917,"(+/- 3138 )",58448,"(+/- 3054 )",41434,"(+/- 3337 )",47077,"(+/- 3024 )",39629,"(+/- 2821 )",41661,"(+/- 3020 )",34219,"(+/- 2619 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",19184,"(+/- 2151 )",44010,"(+/- 2910 )",33593,"(+/- 2934 )",18818,"(+/- 2357 )",22877,"(+/- 2237 )",26970,"(+/- 2125 )",15565,"(+/- 2014 )",11090,"(+/- 1906 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",6140,"(+/- 1376 )",24748,"(+/- 2220 )",13115,"(+/- 1940 )",8603,"(+/- 1702 )",7701,"(+/- 1006 )",12413,"(+/- 1651 )",6352,"(+/- 1350 )",5496,"(+/- 1315 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",3005,"(+/- 839 )",11261,"(+/- 1271 )",6617,"(+/- 1111 )",3255,"(+/- 912 )",3167,"(+/- 758 )",4782,"(+/- 936 )",1912,"(+/- 701 )",1485,"(+/- 593 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",4659,"(+/- 1118 )",17326,"(+/- 1854 )",4861,"(+/- 1027 )",2960,"(+/- 772 )",3963,"(+/- 976 )",3477,"(+/- 847 )",1839,"(+/- 623 )",1150,"(+/- 455 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1223,"(+/- 25 )",1670,"(+/- 28 )",1340,"(+/- 25 )",1164,"(+/- 24 )",1270,"(+/- 33 )",1342,"(+/- 29 )",1094,"(+/- 23 )",1013,"(+/- 29 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",54557,"(+/- 3618 )",81430,"(+/- 3087 )",86267,"(+/- 3732 )",86100,"(+/- 3571 )",73265,"(+/- 3750 )",89056,"(+/- 3145 )",86161,"(+/- 3285 )",99512,"(+/- 4074 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",3876,"(+/- 917 )",2077,"(+/- 783 )",9085,"(+/- 1373 )",15480,"(+/- 1850 )",5496,"(+/- 1097 )",10170,"(+/- 1047 )",12762,"(+/- 1675 )",23499,"(+/- 2238 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",15629,"(+/- 1869 )",7222,"(+/- 1269 )",25141,"(+/- 2634 )",25511,"(+/- 2199 )",17681,"(+/- 2113 )",24002,"(+/- 1704 )",30969,"(+/- 2259 )",40986,"(+/- 2838 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",22231,"(+/- 2751 )",31225,"(+/- 2338 )",32991,"(+/- 2073 )",30562,"(+/- 2631 )",27868,"(+/- 2504 )",30927,"(+/- 2087 )",28650,"(+/- 2672 )",25746,"(+/- 2309 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",7775,"(+/- 1332 )",22034,"(+/- 2136 )",13444,"(+/- 1820 )",9657,"(+/- 1308 )",14250,"(+/- 1822 )",15271,"(+/- 1748 )",8747,"(+/- 1532 )",6728,"(+/- 1169 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",1564,"(+/- 565 )",9647,"(+/- 1392 )",3627,"(+/- 873 )",2936,"(+/- 650 )",3796,"(+/- 876 )",4773,"(+/- 869 )",3620,"(+/- 992 )",1657,"(+/- 557 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",3482,"(+/- 636 )",9225,"(+/- 1528 )",1979,"(+/- 631 )",1954,"(+/- 802 )",4174,"(+/- 936 )",3913,"(+/- 911 )",1413,"(+/- 468 )",896,"(+/- 484 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",466,"(+/- 14 )",602,"(+/- 15 )",446,"(+/- 10 )",412,"(+/- 11 )",484,"(+/- 13 )",460,"(+/- 9 )",397,"(+/- 12 )",346,"(+/- 10 )"
Housing,"Gross Rent","Occupied units paying rent",151878,"(+/- 5424 )",62653,"(+/- 3974 )",64244,"(+/- 4272 )",82903,"(+/- 3876 )",132575,"(+/- 4629 )",78748,"(+/- 3784 )",110189,"(+/- 4265 )",75525,"(+/- 3879 )"
Housing,"Gross Rent","Less than $500",14663,"(+/- 2327 )",2004,"(+/- 602 )",7795,"(+/- 1615 )",11837,"(+/- 1760 )",11718,"(+/- 1766 )",11411,"(+/- 1406 )",13541,"(+/- 2051 )",17239,"(+/- 1859 )"
Housing,"Gross Rent","$500 to $999",83916,"(+/- 4688 )",27008,"(+/- 2835 )",35647,"(+/- 3249 )",47241,"(+/- 2885 )",66440,"(+/- 3830 )",42520,"(+/- 3397 )",76675,"(+/- 4252 )",49770,"(+/- 3301 )"
Housing,"Gross Rent","$1,000 to $1,499",43758,"(+/- 4244 )",21829,"(+/- 2676 )",16607,"(+/- 2772 )",17369,"(+/- 2296 )",43704,"(+/- 4072 )",20393,"(+/- 2614 )",17596,"(+/- 2255 )",7867,"(+/- 1515 )"
Housing,"Gross Rent","$1,500 to $1,999",6998,"(+/- 1531 )",6555,"(+/- 1552 )",3525,"(+/- 1228 )",4274,"(+/- 1437 )",7128,"(+/- 1318 )",3530,"(+/- 1134 )",1915,"(+/- 730 )",548,"(+/- 408 )"
Housing,"Gross Rent","$2,000 to $2,499",1420,"(+/- 716 )",1941,"(+/- 666 )",439,"(+/- 384 )",1684,"(+/- 747 )",2299,"(+/- 784 )",632,"(+/- 404 )",349,"(+/- 237 )",101,"(+/- 126 )"
Housing,"Gross Rent","$2,500 to $2,999",636,"(+/- 447 )",932,"(+/- 621 )",177,"(+/- 226 )",233,"(+/- 269 )",883,"(+/- 463 )",100,"(+/- 154 )",87,"(+/- 114 )",0,"(+/- 195 )"
Housing,"Gross Rent","$3,000 or more",487,"(+/- 342 )",2384,"(+/- 828 )",54,"(+/- 91 )",265,"(+/- 237 )",403,"(+/- 263 )",162,"(+/- 151 )",26,"(+/- 29 )",0,"(+/- 195 )"
Housing,"Gross Rent","Median (dollars)",869,"(+/- 16 )",1045,"(+/- 45 )",848,"(+/- 37 )",802,"(+/- 27 )",921,"(+/- 21 )",817,"(+/- 26 )",745,"(+/- 19 )",672,"(+/- 14 )"
Housing,"Gross Rent","No rent paid",6010,"(+/- 1586 )",2084,"(+/- 668 )",4604,"(+/- 967 )",5309,"(+/- 1136 )",5334,"(+/- 1209 )",4244,"(+/- 888 )",10941,"(+/- 2181 )",11077,"(+/- 1620 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Total households",320959,"(+/- 5830 )",307657,"(+/- 5346 )",307761,"(+/- 3782 )",293159,"(+/- 4614 )",324295,"(+/- 4329 )",290828,"(+/- 4911 )",322806,"(+/- 3975 )",290872,"(+/- 4486 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Less than $10,000",29659,"(+/- 3640 )",9895,"(+/- 2051 )",11945,"(+/- 1663 )",17566,"(+/- 2239 )",22807,"(+/- 2562 )",15214,"(+/- 1684 )",25038,"(+/- 3286 )",23703,"(+/- 2149 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$10,000 to $14,999",19783,"(+/- 2542 )",4722,"(+/- 1095 )",9722,"(+/- 1506 )",14675,"(+/- 2112 )",12661,"(+/- 2043 )",11970,"(+/- 1763 )",17702,"(+/- 2387 )",20578,"(+/- 2003 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$15,000 to $24,999",33089,"(+/- 2920 )",16064,"(+/- 1874 )",21451,"(+/- 2588 )",30642,"(+/- 2992 )",34708,"(+/- 2893 )",25823,"(+/- 2642 )",38508,"(+/- 3194 )",36950,"(+/- 2737 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$25,000 to $34,999",32724,"(+/- 3675 )",19409,"(+/- 2489 )",23813,"(+/- 2795 )",31526,"(+/- 2521 )",31239,"(+/- 2689 )",26350,"(+/- 2896 )",37280,"(+/- 3268 )",31248,"(+/- 2647 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$35,000 to $49,999",44445,"(+/- 4097 )",30519,"(+/- 2608 )",39499,"(+/- 3134 )",41747,"(+/- 3028 )",46220,"(+/- 3157 )",37095,"(+/- 2738 )",48060,"(+/- 3593 )",46756,"(+/- 3411 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$50,000 to $74,999",62766,"(+/- 4393 )",48419,"(+/- 3435 )",58933,"(+/- 3284 )",54755,"(+/- 3549 )",60527,"(+/- 3301 )",53580,"(+/- 3346 )",65614,"(+/- 4208 )",54510,"(+/- 3171 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$75,000 to $99,999",35601,"(+/- 3564 )",43550,"(+/- 3665 )",48771,"(+/- 2859 )",39300,"(+/- 3368 )",42360,"(+/- 3112 )",40579,"(+/- 3012 )",34845,"(+/- 2901 )",33338,"(+/- 3095 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$100,000 to $149,999",36870,"(+/- 3722 )",58663,"(+/- 3187 )",57367,"(+/- 3772 )",39377,"(+/- 3019 )",45300,"(+/- 3246 )",48631,"(+/- 2715 )",34962,"(+/- 2617 )",30582,"(+/- 2387 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$150,000 to $199,000",13599,"(+/- 2022 )",32259,"(+/- 2826 )",19312,"(+/- 1968 )",12519,"(+/- 1631 )",15832,"(+/- 1950 )",18241,"(+/- 1645 )",11408,"(+/- 1891 )",6779,"(+/- 1235 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$200,000 or more",12423,"(+/- 1606 )",44157,"(+/- 2532 )",16948,"(+/- 1761 )",11052,"(+/- 1467 )",12641,"(+/- 1780 )",13345,"(+/- 1509 )",9389,"(+/- 1435 )",6428,"(+/- 1108 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Median household income (dollars)",50163,"(+/- 1321 )",88684,"(+/- 2370 )",69621,"(+/- 2000 )",53237,"(+/- 1720 )",55239,"(+/- 1750 )",62094,"(+/- 1747 )",47679,"(+/- 2088 )",45656,"(+/- 1246 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Mean household income (dollars)",67195,"(+/- 1872 )",122273,"(+/- 3109 )",85293,"(+/- 1854 )",70829,"(+/- 1608 )",72508,"(+/- 1809 )",79547,"(+/- 2340 )",65309,"(+/- 2104 )",60291,"(+/- 1944 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",719783,"(+/- 11215 )",742960,"(+/- 14287 )",789695,"(+/- 8698 )",745217,"(+/- 4420 )",769266,"(+/- 7443 )",758098,"(+/- 8007 )",779301,"(+/- 3805 )",716345,"(+/- 5525 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",650193,"(+/- 11867 )",713647,"(+/- 13836 )",727351,"(+/- 9590 )",662096,"(+/- 7685 )",675817,"(+/- 9165 )",693154,"(+/- 9239 )",671463,"(+/- 8083 )",623242,"(+/- 7083 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",463842,"(+/- 12831 )",613102,"(+/- 13455 )",597965,"(+/- 10576 )",512240,"(+/- 10542 )",517906,"(+/- 12542 )",565235,"(+/- 10447 )",488105,"(+/- 11054 )",437991,"(+/- 9318 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",253538,"(+/- 11550 )",190343,"(+/- 6898 )",222117,"(+/- 7979 )",249310,"(+/- 8155 )",239795,"(+/- 8748 )",225178,"(+/- 7520 )",274644,"(+/- 8481 )",286120,"(+/- 7452 )"
