cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
Housing,"Gross Rent","Less than $500",21599,"(+/- 2335 )",12569,"(+/- 2434 )",13452,"(+/- 1996 )",16468,"(+/- 2179 )"
Housing,"Gross Rent","$500 to $999",54215,"(+/- 3530 )",61546,"(+/- 4000 )",66661,"(+/- 4580 )",43936,"(+/- 3112 )"
Housing,"Gross Rent","$1,000 to $1,499",8560,"(+/- 1766 )",23290,"(+/- 3000 )",22123,"(+/- 2446 )",5842,"(+/- 1314 )"
Housing,"Gross Rent","$1,500 to $1,999",1965,"(+/- 812 )",3225,"(+/- 1199 )",3774,"(+/- 1139 )",995,"(+/- 452 )"
Housing,"Gross Rent","$2,000 to $2,499",26,"(+/- 50 )",669,"(+/- 426 )",1220,"(+/- 698 )",81,"(+/- 135 )"
Housing,"Gross Rent","$2,500 to $2,999",73,"(+/- 120 )",426,"(+/- 478 )",535,"(+/- 551 )",98,"(+/- 160 )"
Housing,"Gross Rent","$3,000 or more",32,"(+/- 61 )",547,"(+/- 533 )",728,"(+/- 496 )",0,"(+/- 206 )"
Housing,"Gross Rent","Median (dollars)",675,"(+/- 17 )",812,"(+/- 21 )",787,"(+/- 23 )",650,"(+/- 18 )"
Housing,"Gross Rent","No rent paid",12403,"(+/- 1634 )",6419,"(+/- 1311 )",6973,"(+/- 1537 )",11388,"(+/- 1818 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Total households",283256,"(+/- 4715 )",298841,"(+/- 4200 )",310011,"(+/- 4536 )",271539,"(+/- 5239 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Less than $10,000",22554,"(+/- 2410 )",19980,"(+/- 2376 )",18652,"(+/- 2652 )",21904,"(+/- 2376 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$10,000 to $14,999",18221,"(+/- 1728 )",16833,"(+/- 2587 )",13508,"(+/- 2127 )",21148,"(+/- 2548 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$15,000 to $24,999",40154,"(+/- 3397 )",31031,"(+/- 2795 )",34076,"(+/- 3497 )",35200,"(+/- 3132 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$25,000 to $34,999",36756,"(+/- 3142 )",30709,"(+/- 3514 )",33739,"(+/- 2914 )",32936,"(+/- 2711 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$35,000 to $49,999",40642,"(+/- 3235 )",41501,"(+/- 4214 )",42958,"(+/- 3981 )",39263,"(+/- 3333 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$50,000 to $74,999",49240,"(+/- 3338 )",57224,"(+/- 4571 )",56158,"(+/- 4109 )",50424,"(+/- 3707 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$75,000 to $99,999",32144,"(+/- 2947 )",33389,"(+/- 2941 )",37929,"(+/- 2917 )",30042,"(+/- 2716 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$100,000 to $149,999",26816,"(+/- 2546 )",41646,"(+/- 3097 )",39717,"(+/- 3164 )",26819,"(+/- 2572 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$150,000 to $199,000",8729,"(+/- 1478 )",14450,"(+/- 2197 )",14844,"(+/- 2074 )",7564,"(+/- 1316 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$200,000 or more",8000,"(+/- 1299 )",12078,"(+/- 1605 )",18430,"(+/- 2234 )",6239,"(+/- 1219 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Median household income (dollars)",43193,"(+/- 1594 )",53600,"(+/- 2407 )",54310,"(+/- 2079 )",43824,"(+/- 1702 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Mean household income (dollars)",60979,"(+/- 2001 )",74591,"(+/- 2495 )",76973,"(+/- 2483 )",58764,"(+/- 2003 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",695986,"(+/- 3985 )",756027,"(+/- 2992 )",822276,"(+/- 4430 )",688307,"(+/- 4746 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",636402,"(+/- 6366 )",689665,"(+/- 7038 )",735546,"(+/- 8720 )",630013,"(+/- 6750 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",376881,"(+/- 9512 )",474743,"(+/- 11250 )",523877,"(+/- 11387 )",381611,"(+/- 10866 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",347059,"(+/- 7995 )",314055,"(+/- 9962 )",302328,"(+/- 9829 )",339637,"(+/- 8599 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",59584,"(+/- 5118 )",66362,"(+/- 6779 )",86730,"(+/- 7637 )",58294,"(+/- 4899 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",172427,"(+/- 2762 )",185732,"(+/- 2154 )",215750,"(+/- 3307 )",167002,"(+/- 3691 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",9568,"(+/- 2411 )",8859,"(+/- 2509 )",15639,"(+/- 2887 )",9329,"(+/- 2237 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",13.4,"(+/- 1.3 )",10.9,"(+/- 1.2 )",9.4,"(+/- 1.3 )",13.7,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",23.4,"(+/- 2.4 )",17.4,"(+/- 2.4 )",14.8,"(+/- 2.2 )",24.0,"(+/- 2.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",26.6,"(+/- 6.1 )",19.6,"(+/- 5.8 )",13.2,"(+/- 4.5 )",33.6,"(+/- 8.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",6.1,"(+/- 1.2 )",4.9,"(+/- 1.0 )",5.6,"(+/- 1.0 )",8.6,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",10.5,"(+/- 2.2 )",7.5,"(+/- 2.1 )",8.9,"(+/- 2.1 )",15.0,"(+/- 3.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",11.8,"(+/- 6.2 )",11.9,"(+/- 5.8 )",3.1,"(+/- 2.6 )",17.0,"(+/- 8.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",36.3,"(+/- 4.1 )",26.7,"(+/- 4.7 )",25.2,"(+/- 4.9 )",31.8,"(+/- 4.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",47.1,"(+/- 5.5 )",32.8,"(+/- 6.0 )",32.4,"(+/- 6.3 )",44.1,"(+/- 6.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",61.5,"(+/- 13.4 )",31.7,"(+/- 14.2 )",31.4,"(+/- 13.5 )",57.5,"(+/- 14.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",18.3,"(+/- 1.2 )",14.6,"(+/- 1.1 )",14.6,"(+/- 1.3 )",17.8,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",28.2,"(+/- 3.0 )",19.8,"(+/- 2.6 )",18.1,"(+/- 3.1 )",23.6,"(+/- 2.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",27.9,"(+/- 3.0 )",19.7,"(+/- 2.6 )",17.2,"(+/- 2.7 )",23.4,"(+/- 2.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",32.7,"(+/- 4.1 )",23.9,"(+/- 5.1 )",21.0,"(+/- 4.2 )",29.0,"(+/- 4.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",26.1,"(+/- 3.5 )",18.1,"(+/- 2.6 )",15.9,"(+/- 3.0 )",21.6,"(+/- 2.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",15.3,"(+/- 1.0 )",13.0,"(+/- 0.9 )",13.4,"(+/- 1.1 )",16.1,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",11.0,"(+/- 1.4 )",9.8,"(+/- 1.7 )",9.9,"(+/- 1.7 )",11.3,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",15.3,"(+/- 1.4 )",12.1,"(+/- 1.3 )",10.7,"(+/- 1.4 )",14.5,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",30.5,"(+/- 2.1 )",24.2,"(+/- 2.1 )",30.8,"(+/- 2.3 )",33.2,"(+/- 2.4 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",165159,"(+/- 3866 )",192423,"(+/- 5815 )",221185,"(+/- 5843 )",159505,"(+/- 4724 )"
Education,"School Enrollment","Nursery school, preschool",13232,"(+/- 2227 )",13768,"(+/- 2601 )",13394,"(+/- 1920 )",9908,"(+/- 1531 )"
Education,"School Enrollment",Kindergarten,9781,"(+/- 1494 )",10315,"(+/- 2059 )",10370,"(+/- 1824 )",8460,"(+/- 1523 )"
Education,"School Enrollment","Elementary school (grades 1-8)",69410,"(+/- 2903 )",78842,"(+/- 3151 )",91016,"(+/- 3147 )",73554,"(+/- 3237 )"
Education,"School Enrollment","High school (grades 9-12)",39703,"(+/- 2653 )",38324,"(+/- 2719 )",46384,"(+/- 3596 )",35203,"(+/- 2559 )"
Education,"School Enrollment","College or graduate school",33033,"(+/- 2862 )",51174,"(+/- 5003 )",60021,"(+/- 4399 )",32380,"(+/- 3122 )"
Education,"Educational Attainment","Population 25 years and over",495994,"(+/- 3319 )",516846,"(+/- 2776 )",540537,"(+/- 3114 )",483079,"(+/- 3783 )"
Education,"Educational Attainment","Less than 9th grade",25036,"(+/- 2637 )",15297,"(+/- 2507 )",32466,"(+/- 3248 )",21577,"(+/- 2619 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",43945,"(+/- 4138 )",34691,"(+/- 3509 )",42079,"(+/- 4266 )",39902,"(+/- 3472 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",198919,"(+/- 5318 )",161697,"(+/- 6443 )",160765,"(+/- 6677 )",188925,"(+/- 5749 )"
Education,"Educational Attainment","Some college, no degree",111885,"(+/- 4918 )",108997,"(+/- 5513 )",110680,"(+/- 5827 )",112490,"(+/- 5585 )"
Education,"Educational Attainment","Associate's degree",35909,"(+/- 2848 )",43589,"(+/- 4000 )",37571,"(+/- 3117 )",34669,"(+/- 3164 )"
Education,"Educational Attainment","Bachelor's degree",53976,"(+/- 3524 )",96010,"(+/- 5284 )",100363,"(+/- 5639 )",56836,"(+/- 3843 )"
Education,"Educational Attainment","Graduate or professional degree",26324,"(+/- 2565 )",56565,"(+/- 4337 )",56613,"(+/- 4022 )",28680,"(+/- 2671 )"
Education,"Educational Attainment","Percent high school graduate or higher",86.1,"(+/- 0.9 )",90.3,"(+/- 0.8 )",86.2,"(+/- 0.9 )",87.3,"(+/- 0.8 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",16.2,"(+/- 0.9 )",29.5,"(+/- 1.3 )",29.0,"(+/- 1.1 )",17.7,"(+/- 1.0 )"

"Source: 2019 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate."
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
"An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution."
"An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution."
"An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate."
"An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate."
"An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small."
"An '(X)' means that the estimate is not applicable or not available"
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag","District 04 Estimate","District 04 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",192738,G,302619,G,338408,G,185302,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",996,G,201,J,958,G,2792,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",454,G,1597,H,557,H,1071,G
Business,"Paid employees for pay period including March 12",Utilities,1158,H,2347,G,2483,H,1347,G
Business,"Paid employees for pay period including March 12",Construction,7727,G,16487,G,15380,G,8695,G
Business,"Paid employees for pay period including March 12",Manufacturing,43482,G,20681,G,53837,G,44818,G
Business,"Paid employees for pay period including March 12","Wholesale trade",9686,G,15495,G,18772,G,4588,G
Business,"Paid employees for pay period including March 12","Retail trade",29968,G,40930,G,41176,G,27432,H
Business,"Paid employees for pay period including March 12","Transportation and warehousing",8082,G,11999,G,24504,G,8371,G
Business,"Paid employees for pay period including March 12",Information,1891,G,12043,H,5054,G,1742,G
Business,"Paid employees for pay period including March 12","Finance and insurance",5806,G,17286,G,8746,G,5433,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",2133,G,4333,G,4450,G,1949,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",4119,G,13902,G,16023,G,3850,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",1524,G,5418,G,29538,J,1639,H
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",6018,G,16304,G,15602,G,7666,G
Business,"Paid employees for pay period including March 12","Educational services",2187,G,7765,G,3616,G,2310,H
Business,"Paid employees for pay period including March 12","Health care and social assistance",38822,G,63306,G,45891,G,32760,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",1748,G,3385,G,2928,G,2503,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",20129,G,33135,G,36939,G,19094,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",6788,G,15965,G,11936,G,7197,G
Business,"Paid employees for pay period including March 12","Industries not classified",20,J,40,H,18,G,45,J
Business,"Annual payroll ($1,000)","Total for all sectors",7079665,G,13898815,G,15822536,G,6940674,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",67952,G,7243,H,30195,G,116086,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",22616,G,124281,H,33779,G,61922,G
Business,"Annual payroll ($1,000)",Utilities,85708,H,237066,G,254414,H,117760,G
Business,"Annual payroll ($1,000)",Construction,374224,G,846531,G,742223,G,409401,G
Business,"Annual payroll ($1,000)",Manufacturing,1972278,G,1123368,G,2260281,G,2212653,G
Business,"Annual payroll ($1,000)","Wholesale trade",478373,G,900381,G,950516,G,221017,G
Business,"Annual payroll ($1,000)","Retail trade",752412,G,1117683,G,1106804,G,693531,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",365007,G,565886,G,1284109,G,343557,G
Business,"Annual payroll ($1,000)",Information,76765,G,1047821,H,359595,G,76047,G
Business,"Annual payroll ($1,000)","Finance and insurance",312329,G,1370982,G,531499,G,273410,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",66959,G,192084,G,168202,G,77810,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",166295,G,825484,G,1016104,G,159451,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",103281,G,350876,G,3340476,J,207761,H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",163611,G,452322,G,487031,G,214308,G
Business,"Annual payroll ($1,000)","Educational services",53144,G,204875,G,85934,G,52925,H
Business,"Annual payroll ($1,000)","Health care and social assistance",1535997,G,3426101,G,2193493,G,1208570,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",36825,G,69136,G,62801,G,51203,H
Business,"Annual payroll ($1,000)","Accommodation and food services",293508,G,552977,G,588461,G,281719,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",152019,G,483157,G,325814,G,160991,G
Business,"Annual payroll ($1,000)","Industries not classified",362,H,561,G,805,H,552,G
Business,"Total Establishments","Total for all sectors",13976,X,19182,X,19722,X,13701,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",187,X,37,X,37,X,388,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",38,X,77,X,50,X,141,X
Business,"Total Establishments",Utilities,83,X,75,X,62,X,101,X
Business,"Total Establishments",Construction,1058,X,1603,X,1723,X,1134,X
Business,"Total Establishments",Manufacturing,616,X,557,X,735,X,665,X
Business,"Total Establishments","Wholesale trade",699,X,1004,X,1044,X,501,X
Business,"Total Establishments","Retail trade",2589,X,2897,X,2823,X,2466,X
Business,"Total Establishments","Transportation and warehousing",705,X,554,X,619,X,589,X
Business,"Total Establishments",Information,246,X,351,X,333,X,217,X
Business,"Total Establishments","Finance and insurance",891,X,1429,X,1165,X,892,X
Business,"Total Establishments","Real estate and rental and leasing",586,X,993,X,1025,X,526,X
Business,"Total Establishments","Professional, scientific, and technical services",912,X,2117,X,2069,X,844,X
Business,"Total Establishments","Management of companies and enterprises",58,X,133,X,897,X,61,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",414,X,915,X,913,X,465,X
Business,"Total Establishments","Educational services",83,X,229,X,204,X,102,X
Business,"Total Establishments","Health care and social assistance",1875,X,2399,X,2226,X,1590,X
Business,"Total Establishments","Arts, entertainment, and recreation",193,X,217,X,242,X,147,X
Business,"Total Establishments","Accommodation and food services",1275,X,1628,X,1849,X,1245,X
Business,"Total Establishments","Other services (except public administration)",1451,X,1948,X,1678,X,1597,X
Business,"Total Establishments","Industries not classified",17,X,19,X,28,X,30,X

"Source: 2018 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. Beginning with reference year 2017, a cell is only published if it contains three or more establishments.  In all other cases, the cell is not included in the release (i.e., it is dropped from publication).  In prior years, employment and payroll values for cells with fewer than three establishments would have been suppressed; however, the number of establishments would have been published."
"5. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"N Not available or not comparable"
"S Cell value withheld because it did not meet publication standards"
"X Not applicable"
