cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
Housing,Value,"$150,000 to $199,999",4137,"(+/- 998 )",23417,"(+/- 2204 )",4076,"(+/- 989 )",21499,"(+/- 2527 )",9917,"(+/- 1411 )"
Housing,Value,"$200,000 to $299,999",24827,"(+/- 2563 )",49679,"(+/- 3714 )",21649,"(+/- 2134 )",65958,"(+/- 4048 )",49642,"(+/- 3512 )"
Housing,Value,"$300,000 to $499,999",97469,"(+/- 4166 )",66044,"(+/- 4299 )",95755,"(+/- 3658 )",64841,"(+/- 3590 )",84062,"(+/- 4197 )"
Housing,Value,"$500,000 to $999,999",59045,"(+/- 3728 )",31283,"(+/- 2583 )",61223,"(+/- 2973 )",23366,"(+/- 2304 )",38837,"(+/- 2574 )"
Housing,Value,"$1,000,000 or more",5441,"(+/- 1016 )",6620,"(+/- 1280 )",5176,"(+/- 996 )",4207,"(+/- 1383 )",6780,"(+/- 1184 )"
Housing,Value,"Median (dollars)",417800,"(+/- 8944 )",288600,"(+/- 7440 )",417100,"(+/- 6993 )",280400,"(+/- 4501 )",352900,"(+/- 5882 )"
Housing,"Mortgage Status","Owner-occupied units",200067,"(+/- 4693 )",219290,"(+/- 6005 )",199699,"(+/- 4846 )",211149,"(+/- 4864 )",206920,"(+/- 5197 )"
Housing,"Mortgage Status","Housing units with a mortgage",141009,"(+/- 5213 )",132796,"(+/- 4955 )",142580,"(+/- 4739 )",128331,"(+/- 4408 )",140481,"(+/- 5031 )"
Housing,"Mortgage Status","Housing units without a mortgage",59058,"(+/- 3019 )",86494,"(+/- 4427 )",57119,"(+/- 3382 )",82818,"(+/- 3731 )",66439,"(+/- 3090 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",141009,"(+/- 5213 )",132796,"(+/- 4955 )",142580,"(+/- 4739 )",128331,"(+/- 4408 )",140481,"(+/- 5031 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",554,"(+/- 288 )",1225,"(+/- 492 )",352,"(+/- 310 )",1594,"(+/- 644 )",1283,"(+/- 503 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",6327,"(+/- 1288 )",23764,"(+/- 2504 )",5477,"(+/- 1215 )",20902,"(+/- 2655 )",11061,"(+/- 1639 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",25419,"(+/- 2172 )",43783,"(+/- 3577 )",25642,"(+/- 2434 )",41039,"(+/- 2943 )",37925,"(+/- 3004 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",36459,"(+/- 3089 )",32341,"(+/- 2541 )",40930,"(+/- 2923 )",35018,"(+/- 2848 )",37761,"(+/- 3029 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",33896,"(+/- 3279 )",15394,"(+/- 2012 )",32355,"(+/- 2893 )",15302,"(+/- 2095 )",22712,"(+/- 2098 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",18829,"(+/- 2331 )",7989,"(+/- 1448 )",18126,"(+/- 2198 )",7892,"(+/- 1492 )",13897,"(+/- 1928 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",19525,"(+/- 2139 )",8300,"(+/- 1551 )",19698,"(+/- 2235 )",6584,"(+/- 1183 )",15842,"(+/- 1530 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",2026,"(+/- 39 )",1472,"(+/- 35 )",1987,"(+/- 36 )",1509,"(+/- 41 )",1766,"(+/- 34 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",59058,"(+/- 3019 )",86494,"(+/- 4427 )",57119,"(+/- 3382 )",82818,"(+/- 3731 )",66439,"(+/- 3090 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",2361,"(+/- 816 )",10677,"(+/- 1833 )",3891,"(+/- 1220 )",7872,"(+/- 1497 )",3390,"(+/- 1050 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",4864,"(+/- 924 )",21332,"(+/- 2423 )",4011,"(+/- 1108 )",18909,"(+/- 2296 )",10343,"(+/- 1343 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",15748,"(+/- 1811 )",30366,"(+/- 2896 )",15577,"(+/- 2051 )",31143,"(+/- 2862 )",19882,"(+/- 2095 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",18035,"(+/- 2018 )",14298,"(+/- 2155 )",17147,"(+/- 1993 )",15770,"(+/- 1670 )",19346,"(+/- 2053 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",8394,"(+/- 1324 )",6127,"(+/- 1357 )",7856,"(+/- 1377 )",5569,"(+/- 1028 )",7196,"(+/- 1181 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",9656,"(+/- 1539 )",3694,"(+/- 1096 )",8637,"(+/- 1459 )",3555,"(+/- 773 )",6282,"(+/- 962 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",665,"(+/- 17 )",471,"(+/- 15 )",654,"(+/- 19 )",488,"(+/- 13 )",597,"(+/- 16 )"
Housing,"Gross Rent","Occupied units paying rent",122569,"(+/- 4914 )",102814,"(+/- 4617 )",138116,"(+/- 4954 )",117875,"(+/- 4533 )",104572,"(+/- 4401 )"
Housing,"Gross Rent","Less than $500",3574,"(+/- 1085 )",11014,"(+/- 1625 )",8006,"(+/- 1729 )",9825,"(+/- 1606 )",5257,"(+/- 1279 )"
Housing,"Gross Rent","$500 to $999",18915,"(+/- 2289 )",39226,"(+/- 3571 )",26225,"(+/- 2786 )",49521,"(+/- 3490 )",29661,"(+/- 2997 )"
Housing,"Gross Rent","$1,000 to $1,499",51684,"(+/- 4059 )",34605,"(+/- 3341 )",54714,"(+/- 4054 )",41876,"(+/- 3367 )",46668,"(+/- 3707 )"
Housing,"Gross Rent","$1,500 to $1,999",33893,"(+/- 3061 )",12296,"(+/- 1987 )",31365,"(+/- 3116 )",12903,"(+/- 1778 )",17370,"(+/- 2595 )"
Housing,"Gross Rent","$2,000 to $2,499",10557,"(+/- 1563 )",4184,"(+/- 1406 )",12868,"(+/- 2133 )",2223,"(+/- 645 )",3491,"(+/- 1066 )"
Housing,"Gross Rent","$2,500 to $2,999",2640,"(+/- 1079 )",857,"(+/- 526 )",3440,"(+/- 970 )",775,"(+/- 583 )",1079,"(+/- 509 )"
Housing,"Gross Rent","$3,000 or more",1306,"(+/- 549 )",632,"(+/- 463 )",1498,"(+/- 722 )",752,"(+/- 670 )",1046,"(+/- 416 )"
Housing,"Gross Rent","Median (dollars)",1386,"(+/- 25 )",1013,"(+/- 33 )",1301,"(+/- 33 )",997,"(+/- 27 )",1177,"(+/- 27 )"
Housing,"Gross Rent","No rent paid",3314,"(+/- 1014 )",8664,"(+/- 1642 )",3888,"(+/- 942 )",6862,"(+/- 1598 )",3553,"(+/- 975 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Total households",325950,"(+/- 3762 )",330768,"(+/- 4942 )",341703,"(+/- 4444 )",335886,"(+/- 4014 )",315045,"(+/- 4040 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Less than $10,000",16912,"(+/- 2770 )",20243,"(+/- 2467 )",17610,"(+/- 2231 )",19419,"(+/- 2199 )",14355,"(+/- 2437 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$10,000 to $14,999",8665,"(+/- 1539 )",13611,"(+/- 1889 )",11644,"(+/- 2071 )",15903,"(+/- 1916 )",11129,"(+/- 1880 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$15,000 to $24,999",16570,"(+/- 2229 )",30133,"(+/- 2891 )",22825,"(+/- 2724 )",33901,"(+/- 2807 )",20690,"(+/- 2327 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$25,000 to $34,999",20794,"(+/- 2396 )",32847,"(+/- 3543 )",22398,"(+/- 2213 )",35697,"(+/- 2711 )",25252,"(+/- 2615 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$35,000 to $49,999",29568,"(+/- 3000 )",46850,"(+/- 4613 )",39313,"(+/- 3233 )",46917,"(+/- 3392 )",39810,"(+/- 3544 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$50,000 to $74,999",56758,"(+/- 4315 )",60386,"(+/- 3508 )",61089,"(+/- 4720 )",61638,"(+/- 3974 )",59661,"(+/- 3957 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$75,000 to $99,999",47412,"(+/- 3722 )",44798,"(+/- 3925 )",43444,"(+/- 3719 )",43975,"(+/- 2653 )",43426,"(+/- 3542 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$100,000 to $149,999",60832,"(+/- 3757 )",48055,"(+/- 2975 )",61997,"(+/- 3524 )",47650,"(+/- 3460 )",54797,"(+/- 3334 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$150,000 to $199,000",33598,"(+/- 2682 )",18038,"(+/- 2399 )",29150,"(+/- 2496 )",18332,"(+/- 2211 )",24724,"(+/- 2500 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$200,000 or more",34841,"(+/- 3258 )",15807,"(+/- 1843 )",32233,"(+/- 2753 )",12454,"(+/- 1775 )",21201,"(+/- 2327 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Median household income (dollars)",81473,"(+/- 2241 )",57870,"(+/- 2030 )",73091,"(+/- 2177 )",55886,"(+/- 1851 )",68757,"(+/- 2151 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Mean household income (dollars)",106277,"(+/- 3667 )",76252,"(+/- 2003 )",96542,"(+/- 2434 )",73782,"(+/- 2153 )",89673,"(+/- 2225 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",850333,"(+/- 4866 )",825572,"(+/- 3652 )",848232,"(+/- 7326 )",816005,"(+/- 4033 )",834860,"(+/- 6657 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",800806,"(+/- 8037 )",757184,"(+/- 6440 )",786744,"(+/- 9388 )",762395,"(+/- 6065 )",768453,"(+/- 10723 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",642020,"(+/- 11596 )",504957,"(+/- 12333 )",601720,"(+/- 11923 )",523504,"(+/- 10480 )",567496,"(+/- 13034 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",260592,"(+/- 9319 )",388081,"(+/- 11280 )",271554,"(+/- 10751 )",367233,"(+/- 7789 )",318760,"(+/- 11303 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",49527,"(+/- 6444 )",68388,"(+/- 5835 )",61488,"(+/- 5524 )",53610,"(+/- 5119 )",66407,"(+/- 7249 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",196315,"(+/- 2342 )",187995,"(+/- 2752 )",171046,"(+/- 3640 )",161382,"(+/- 3001 )",197648,"(+/- 3641 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",6586,"(+/- 2556 )",8622,"(+/- 1961 )",6630,"(+/- 2117 )",5771,"(+/- 1769 )",9906,"(+/- 3119 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",4.9,"(+/- 0.9 )",8.1,"(+/- 1.3 )",6.9,"(+/- 1.1 )",7.1,"(+/- 0.9 )",5.9,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",7.8,"(+/- 1.8 )",13.7,"(+/- 2.6 )",11.7,"(+/- 2.1 )",12.7,"(+/- 2.0 )",10.0,"(+/- 1.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",6.0,"(+/- 3.0 )",10.3,"(+/- 5.2 )",11.0,"(+/- 5.3 )",12.8,"(+/- 4.8 )",9.2,"(+/- 5.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",2.6,"(+/- 0.7 )",4.9,"(+/- 1.1 )",3.3,"(+/- 0.7 )",3.8,"(+/- 0.7 )",3.3,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",3.4,"(+/- 1.5 )",7.1,"(+/- 2.4 )",4.4,"(+/- 1.6 )",6.3,"(+/- 1.8 )",4.9,"(+/- 1.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",0.4,"(+/- 0.6 )",1.8,"(+/- 2.4 )",1.1,"(+/- 1.4 )",6.8,"(+/- 5.2 )",6.0,"(+/- 5.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",17.5,"(+/- 4.2 )",20.6,"(+/- 4.2 )",21.5,"(+/- 4.2 )",18.9,"(+/- 3.5 )",16.3,"(+/- 3.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",24.8,"(+/- 7.0 )",30.0,"(+/- 6.0 )",34.3,"(+/- 6.9 )",27.4,"(+/- 5.6 )",22.9,"(+/- 5.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",35.3,"(+/- 19.9 )",33.8,"(+/- 18.9 )",42.5,"(+/- 15.2 )",25.7,"(+/- 12.2 )",18.2,"(+/- 12.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",8.9,"(+/- 1.0 )",13.0,"(+/- 1.2 )",11.6,"(+/- 1.1 )",13.8,"(+/- 1.0 )",9.7,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",9.9,"(+/- 2.7 )",17.2,"(+/- 3.3 )",14.1,"(+/- 2.8 )",14.4,"(+/- 2.7 )",10.4,"(+/- 2.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",9.4,"(+/- 2.7 )",16.8,"(+/- 3.2 )",13.7,"(+/- 2.8 )",13.7,"(+/- 2.6 )",10.1,"(+/- 2.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",9.2,"(+/- 2.8 )",16.7,"(+/- 4.3 )",13.3,"(+/- 4.0 )",15.0,"(+/- 4.2 )",11.2,"(+/- 4.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",9.4,"(+/- 3.0 )",16.8,"(+/- 3.7 )",13.8,"(+/- 3.1 )",13.2,"(+/- 2.7 )",9.7,"(+/- 2.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",8.6,"(+/- 0.8 )",11.9,"(+/- 0.9 )",11.0,"(+/- 0.9 )",13.7,"(+/- 0.9 )",9.5,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",7.3,"(+/- 1.4 )",9.2,"(+/- 1.3 )",7.4,"(+/- 1.4 )",8.1,"(+/- 1.0 )",8.0,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",5.3,"(+/- 1.1 )",9.2,"(+/- 1.5 )",7.5,"(+/- 1.3 )",7.7,"(+/- 1.1 )",6.2,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",21.4,"(+/- 2.0 )",26.0,"(+/- 1.7 )",21.7,"(+/- 1.6 )",30.9,"(+/- 2.1 )",23.3,"(+/- 2.1 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",199001,"(+/- 4740 )",178845,"(+/- 5220 )",190291,"(+/- 6286 )",186206,"(+/- 5278 )",193284,"(+/- 5751 )"
Education,"School Enrollment","Nursery school, preschool",13147,"(+/- 2177 )",13690,"(+/- 2413 )",11524,"(+/- 1710 )",9249,"(+/- 1803 )",11093,"(+/- 1900 )"
Education,"School Enrollment",Kindergarten,9437,"(+/- 1952 )",11710,"(+/- 1725 )",8584,"(+/- 1649 )",7470,"(+/- 1355 )",11207,"(+/- 2083 )"
Education,"School Enrollment","Elementary school (grades 1-8)",83667,"(+/- 3460 )",79286,"(+/- 3372 )",73482,"(+/- 3826 )",66157,"(+/- 2713 )",83403,"(+/- 3046 )"
Education,"School Enrollment","High school (grades 9-12)",43705,"(+/- 2008 )",39251,"(+/- 2836 )",34528,"(+/- 2494 )",33740,"(+/- 2207 )",43723,"(+/- 2416 )"
Education,"School Enrollment","College or graduate school",49045,"(+/- 4132 )",34908,"(+/- 3963 )",62173,"(+/- 4381 )",69590,"(+/- 4260 )",43858,"(+/- 4402 )"
Education,"Educational Attainment","Population 25 years and over",603297,"(+/- 3425 )",600342,"(+/- 4155 )",621311,"(+/- 5138 )",579277,"(+/- 3903 )",583891,"(+/- 4400 )"
Education,"Educational Attainment","Less than 9th grade",18374,"(+/- 3145 )",19465,"(+/- 2494 )",22810,"(+/- 2840 )",11528,"(+/- 2029 )",26040,"(+/- 3132 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",22845,"(+/- 3489 )",41257,"(+/- 4619 )",29011,"(+/- 3134 )",35161,"(+/- 2736 )",31908,"(+/- 3376 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",122991,"(+/- 6255 )",166236,"(+/- 7186 )",114907,"(+/- 6690 )",149878,"(+/- 6389 )",133231,"(+/- 6424 )"
Education,"Educational Attainment","Some college, no degree",140466,"(+/- 6721 )",152376,"(+/- 6427 )",130623,"(+/- 7138 )",166901,"(+/- 5414 )",150692,"(+/- 6734 )"
Education,"Educational Attainment","Associate's degree",52819,"(+/- 3829 )",59184,"(+/- 4754 )",48702,"(+/- 4055 )",53011,"(+/- 3244 )",55386,"(+/- 3939 )"
Education,"Educational Attainment","Bachelor's degree",146959,"(+/- 7024 )",98581,"(+/- 5363 )",166429,"(+/- 5749 )",95750,"(+/- 4712 )",120192,"(+/- 5514 )"
Education,"Educational Attainment","Graduate or professional degree",98843,"(+/- 6170 )",63243,"(+/- 4819 )",108829,"(+/- 5086 )",67048,"(+/- 3170 )",66442,"(+/- 4178 )"
Education,"Educational Attainment","Percent high school graduate or higher",93.2,"(+/- 0.7 )",89.9,"(+/- 0.9 )",91.7,"(+/- 0.5 )",91.9,"(+/- 0.6 )",90.1,"(+/- 0.7 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",40.7,"(+/- 1.4 )",27.0,"(+/- 1.1 )",44.3,"(+/- 1.2 )",28.1,"(+/- 0.9 )",32.0,"(+/- 1.0 )"

"Source: 2019 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate."
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
"An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution."
"An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution."
"An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate."
"An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate."
"An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small."
"An '(X)' means that the estimate is not applicable or not available"
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag","District 04 Estimate","District 04 Flag","District 05 Estimate","District 05 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",394230,G,269129,G,409914,G,251548,G,283546,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",2169,H,3365,G,258,J,4557,G,3214,H
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",313,H,503,H,64,G,358,H,180,H
Business,"Paid employees for pay period including March 12",Utilities,1756,G,1608,H,3699,H,617,J,554,H
Business,"Paid employees for pay period including March 12",Construction,25006,G,16711,G,22203,G,14396,G,23580,G
Business,"Paid employees for pay period including March 12",Manufacturing,54861,G,29608,G,30362,G,31105,G,30600,G
Business,"Paid employees for pay period including March 12","Wholesale trade",23705,G,8501,G,21176,G,9410,G,14138,G
Business,"Paid employees for pay period including March 12","Retail trade",46178,G,44212,G,40539,G,38006,G,40770,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",7396,G,10616,G,23897,G,8728,G,8427,G
Business,"Paid employees for pay period including March 12",Information,12559,G,5299,G,11124,G,4552,G,5653,G
Business,"Paid employees for pay period including March 12","Finance and insurance",17364,G,7717,G,21154,G,8217,G,9622,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",8316,G,4042,G,8919,G,3923,G,5781,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",27773,G,10612,G,30973,G,11968,G,13134,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",26852,H,5099,H,10436,G,5801,H,3690,G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",24029,G,13742,G,24878,G,12873,G,17255,G
Business,"Paid employees for pay period including March 12","Educational services",11551,G,3253,G,14965,H,2965,G,5182,H
Business,"Paid employees for pay period including March 12","Health care and social assistance",47188,G,49166,G,66538,G,47954,G,50495,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",5826,G,7266,G,7902,G,3771,G,4773,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",37579,G,36041,G,50583,G,31443,G,33603,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",13771,G,11697,G,20195,G,10871,G,12882,G
Business,"Paid employees for pay period including March 12","Industries not classified",38,G,71,G,49,J,33,J,13,J
Business,"Annual payroll ($1,000)","Total for all sectors",25632171,G,10741109,G,22140526,G,10789483,G,12816784,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",96127,H,173375,G,19976,H,237867,G,142839,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",19485,G,28373,H,4136,G,20227,G,13082,G
Business,"Annual payroll ($1,000)",Utilities,178032,G,143744,H,393699,H,57063,H,52840,H
Business,"Annual payroll ($1,000)",Construction,1694063,G,834608,G,1518807,G,779133,G,1360917,G
Business,"Annual payroll ($1,000)",Manufacturing,4789101,G,1300076,G,1770751,G,1636022,G,1687306,G
Business,"Annual payroll ($1,000)","Wholesale trade",2177610,G,435804,G,1362676,G,522297,G,887918,G
Business,"Annual payroll ($1,000)","Retail trade",1433009,G,1280763,G,1267560,G,1093030,G,1190309,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",378230,G,514363,G,1253678,G,378394,G,439938,G
Business,"Annual payroll ($1,000)",Information,1190803,G,274862,G,1000617,G,232474,H,441149,G
Business,"Annual payroll ($1,000)","Finance and insurance",1244760,G,476755,G,2040248,G,511900,G,725405,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",402880,G,150067,G,446229,G,136921,G,280795,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",2663583,H,555186,G,2589134,G,712502,G,955684,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",3991560,H,300508,G,1041382,G,471002,H,240957,G
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",1028104,G,494562,G,910268,G,396754,G,559295,G
Business,"Annual payroll ($1,000)","Educational services",290886,G,87101,G,529315,G,75932,G,135362,H
Business,"Annual payroll ($1,000)","Health care and social assistance",2448445,G,2509493,G,3830975,G,2532262,G,2535636,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",256779,H,131423,G,248123,G,79022,G,117361,G
Business,"Annual payroll ($1,000)","Accommodation and food services",808769,G,738690,G,1162132,G,607975,G,683324,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",538540,G,309687,G,748842,G,308092,G,366187,G
Business,"Annual payroll ($1,000)","Industries not classified",1405,G,1669,G,1978,G,614,H,480,G
Business,"Total Establishments","Total for all sectors",23874,X,24772,X,26872,X,19932,X,22608,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",175,X,368,X,41,X,510,X,295,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",18,X,43,X,8,X,35,X,19,X
Business,"Total Establishments",Utilities,35,X,123,X,46,X,42,X,30,X
Business,"Total Establishments",Construction,2482,X,3249,X,2475,X,2224,X,3147,X
Business,"Total Establishments",Manufacturing,1232,X,1126,X,1132,X,1011,X,1017,X
Business,"Total Establishments","Wholesale trade",1241,X,936,X,1230,X,722,X,994,X
Business,"Total Establishments","Retail trade",2590,X,3339,X,2876,X,2707,X,2656,X
Business,"Total Establishments","Transportation and warehousing",545,X,764,X,819,X,595,X,566,X
Business,"Total Establishments",Information,534,X,500,X,620,X,367,X,352,X
Business,"Total Establishments","Finance and insurance",1246,X,1200,X,1155,X,992,X,1372,X
Business,"Total Establishments","Real estate and rental and leasing",1506,X,1418,X,1549,X,1099,X,1298,X
Business,"Total Establishments","Professional, scientific, and technical services",2784,X,2264,X,3713,X,1732,X,2161,X
Business,"Total Establishments","Management of companies and enterprises",209,X,98,X,182,X,95,X,118,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",1396,X,1211,X,1226,X,893,X,1184,X
Business,"Total Establishments","Educational services",399,X,288,X,439,X,249,X,256,X
Business,"Total Establishments","Health care and social assistance",2948,X,2881,X,3216,X,2436,X,2756,X
Business,"Total Establishments","Arts, entertainment, and recreation",383,X,440,X,543,X,316,X,359,X
Business,"Total Establishments","Accommodation and food services",2191,X,2437,X,3040,X,2054,X,2074,X
Business,"Total Establishments","Other services (except public administration)",1912,X,2040,X,2507,X,1823,X,1923,X
Business,"Total Establishments","Industries not classified",48,X,47,X,55,X,30,X,31,X

"Source: 2018 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
